hotel_class,region_id,url,phone,details,address,type,id,name,region,street-address,postal-code,locality,full_address,latitude,longitude
2.0,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d225335-Reviews-Suburban_Extended_Stay_Hotel_of_Charlotte_WT_Harris-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '8615 Hankins Road', 'postal-code': '28269', 'locality': 'Charlotte'}",hotel,225335,Suburban Extended Stay Hotel of Charlotte - WT Harris,NC,8615 Hankins Road,28269,Charlotte,"8615 Hankins Road, Charlotte, NC, 28269, USA",35.3405798,-80.834856
2.0,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d1593882-Reviews-Red_Roof_Inn_Charlotte_UNCC-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '5111 Equipment Dr', 'postal-code': '28269', 'locality': 'Charlotte'}",hotel,1593882,Red Roof Inn Charlotte UNCC,NC,5111 Equipment Dr,28269,Charlotte,"5111 Equipment Dr, Charlotte, NC, 28269, USA",35.2796417,-80.7953667
,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d3263526-Reviews-Courtyard_Charlotte_Billy_Graham_Parkway-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '321 W. Woodlawn Road', 'postal-code': '28217', 'locality': 'Charlotte'}",hotel,3263526,Courtyard Charlotte Billy Graham Parkway,NC,321 W. Woodlawn Road,28217,Charlotte,"321 W. Woodlawn Road, Charlotte, NC, 28217, USA",35.1795582,-80.8886961
3.0,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d94130-Reviews-Crowne_Plaza_Charlotte-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '201 S McDowell St', 'postal-code': '28204', 'locality': 'Charlotte'}",hotel,94130,Crowne Plaza Charlotte,NC,201 S McDowell St,28204,Charlotte,"201 S McDowell St, Charlotte, NC, 28204, USA",35.2186773,-80.8360979
3.0,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d223374-Reviews-Sonesta_ES_Suites_Charlotte-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '7925 Forest Pine Drive', 'postal-code': '28273', 'locality': 'Charlotte'}",hotel,223374,Sonesta ES Suites Charlotte,NC,7925 Forest Pine Drive,28273,Charlotte,"7925 Forest Pine Drive, Charlotte, NC, 28273, USA",35.1356802,-80.9051388
,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d121862-Reviews-Homestead_Lodge_Airport-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '6125 Wilkinson Blvd.', 'postal-code': '28214', 'locality': 'Charlotte'}",hotel,121862,Homestead Lodge - Airport,NC,6125 Wilkinson Blvd.,28214,Charlotte,"6125 Wilkinson Blvd., Charlotte, NC, 28214, USA",35.2352634,-80.943887
,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d94097-Reviews-Value_Lodge-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '2721 E. Independence Blvd.', 'postal-code': '28205', 'locality': 'Charlotte'}",hotel,94097,Value Lodge,NC,2721 E. Independence Blvd.,28205,Charlotte,"2721 E. Independence Blvd., Charlotte, NC, 28205, USA",35.2002113,-80.7735243
2.0,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d100607-Reviews-Extended_Stay_America_Charlotte_Tyvola_Rd-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '6035 Nations Ford Road', 'postal-code': '28217', 'locality': 'Charlotte'}",hotel,100607,Extended Stay America - Charlotte - Tyvola Rd.,NC,6035 Nations Ford Road,28217,Charlotte,"6035 Nations Ford Road, Charlotte, NC, 28217, USA",35.1643166,-80.8916243
,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d100535-Reviews-Southern_Comfort_Inn-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '4419 Tuckaseegee Road', 'postal-code': '28208', 'locality': 'Charlotte'}",hotel,100535,Southern Comfort Inn,NC,4419 Tuckaseegee Road,28208,Charlotte,"4419 Tuckaseegee Road, Charlotte, NC, 28208, USA",35.2456545,-80.8989718
,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d3461669-Reviews-Charlotte_Inn-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '2701 East Independence Boulevard', 'postal-code': '28205', 'locality': 'Charlotte'}",hotel,3461669,Charlotte Inn,NC,2701 East Independence Boulevard,28205,Charlotte,"2701 East Independence Boulevard, Charlotte, NC, 28205, USA",35.2002113,-80.7735243
,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d94179-Reviews-Holiday_Inn_Merchandise_Mart-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '3501 E. Independence Blvd.', 'postal-code': '28205', 'locality': 'Charlotte'}",hotel,94179,Holiday Inn - Merchandise Mart,NC,3501 E. Independence Blvd.,28205,Charlotte,"3501 E. Independence Blvd., Charlotte, NC, 28205, USA",35.2025419,-80.7840849
2.0,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d121859-Reviews-Extended_Stay_America_Charlotte_Airport-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '710 Yorkmont Road', 'postal-code': '28217', 'locality': 'Charlotte'}",hotel,121859,Extended Stay America - Charlotte - Airport,NC,710 Yorkmont Road,28217,Charlotte,"710 Yorkmont Road, Charlotte, NC, 28217, USA",35.1792793,-80.8912983
2.0,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d94093-Reviews-Baymont_Inn_and_Suites_Charlotte_Airport-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '3101 Scott Futrell Drive', 'postal-code': '28208', 'locality': 'Charlotte'}",hotel,94093,Baymont Inn and Suites Charlotte-Airport,NC,3101 Scott Futrell Drive,28208,Charlotte,"3101 Scott Futrell Drive, Charlotte, NC, 28208, USA",35.2370271,-80.9182454
2.5,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d100582-Reviews-BEST_WESTERN_PLUS_Charlotte_Matthews-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '2501 Sardis Rd North', 'postal-code': '28227-7724', 'locality': 'Charlotte'}",hotel,100582,BEST WESTERN PLUS Charlotte/Matthews,NC,2501 Sardis Rd North,28227-7724,Charlotte,"2501 Sardis Rd North, Charlotte, NC, 28227-7724, USA",35.1468231,-80.7262532
,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d121921-Reviews-InTown_Suites_Charlotte_Northeast-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '7706 North Tryon Street', 'postal-code': '28262', 'locality': 'Charlotte'}",hotel,121921,InTown Suites Charlotte Northeast,NC,7706 North Tryon Street,28262,Charlotte,"7706 North Tryon Street, Charlotte, NC, 28262, USA",35.2951589,-80.7553302
1.5,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d530678-Reviews-Knights_Inn_Charlotte_South-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '7901 Nations Ford Rd', 'postal-code': '28217', 'locality': 'Charlotte'}",hotel,530678,Knights Inn Charlotte South,NC,7901 Nations Ford Rd,28217,Charlotte,"7901 Nations Ford Rd, Charlotte, NC, 28217, USA",35.1456591,-80.8950926
